mpfr 4.2.1-4
mpg123 1.32.7-1
mtdev 1.1.7-1
ncurses 6.5-3
neofetch 7.1.0-2
neon 0.33.0-1
nettle 3.10-1
networkmanager 1.48.8-1
node-gyp 10.2.0-1
nodejs 22.6.0-1
nodejs-nopt 7.2.0-2
noto-fonts 1:24.8.1-1
npm 10.8.2-1
npth 1.7-1
nspr 4.35-3
nss 3.103-1
nvidia-dkms 555.58.02-1
nvidia-settings 555.58.02-1
nvidia-utils 555.58.02-1
ocl-icd 2.3.2-2
oniguruma 6.9.9-1
openal 1.23.1-2
opencl-nvidia 555.58.02-1
opencore-amr 0.1.6-2
openexr 3.2.4-1
openjpeg2 2.5.2-1
openssh 9.8p1-1
openssl 3.3.1-1
openssl-1.1 1.1.1.w-2
opus 1.5.2-1
opusfile 0.12-4
orc 0.4.39-1
p11-kit 0.25.5-1
pacman 6.1.0-3
pacman-mirrorlist 20240717-1
pahole 1:1.27-2
pam 1.6.1-2
pambase 20230918-1
pamixer 1.6-3
pango 1:1.54.0-1
parallel 20240722-1
patch 2.7.6-10
pciutils 3.13.0-1
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.0-1
perl 5.38.2-2
perl-error 0.17029-6
perl-mailtools 2.21-8
perl-timedate 2.33-6
pinentry 1.3.1-5
pipewire 1:1.2.2-1
pixman 0.43.4-1
pkgconf 2.1.1-1
polkit 124-2
poppler 24.08.0-1
popt 1.19-1
portaudio 1:19.7.0-3
procps-ng 4.0.4-3
proton 1:9.0.2.4-1
psmisc 23.7-1
pulseaudio 17.0-3
pulseaudio-alsa 1:1.2.12-3
python 3.12.4-1
python-autocommand 2.2.2-6
python-configobj 5.0.8-5
python-docopt 0.6.2-13
python-dulwich 0.22.1-1
python-fastbencode 0.3.1-1
python-fastjsonschema 2.20.0-1
python-gobject 3.48.2-2
python-iniconfig 2.0.0-5
python-jaraco.context 5.3.0-1
python-jaraco.functools 4.0.2-1
python-jaraco.text 4.0.0-1
python-merge3 0.0.15-1
python-more-itertools 10.3.0-1
python-ordered-set 4.1.0-5
python-packaging 24.1-1
python-patiencediff 0.2.15-1
python-platformdirs 4.2.2-1
python-pluggy 1.5.0-1
python-pytest 1:8.3.2-1
python-setuptools 1:69.5.1-1
python-six 1.16.0-9
python-tomli 2.0.1-4
python-trove-classifiers 2024.7.2-1
python-tzlocal 1:5.2-2
python-urllib3 1.26.19-1
python-validate-pyproject 0.18-1
python-yaml 6.0.1-4
qt5-base 5.15.14+kde+r143-1
qt5-declarative 5.15.14+kde+r28-1
qt5-svg 5.15.14+kde+r5-1
qt5-translations 5.15.14-1
qt5-wayland 5.15.14+kde+r59-1
qt5-x11extras 5.15.14-1
qt6-base 6.7.2-1
qt6-declarative 6.7.2-1
qt6-translations 6.7.2-1
raptor 2.0.16-5
rasqal 1:0.9.33-7
rav1e 0.7.1-1
readline 8.2.013-1
redland 1:1.0.17-9
rsync 3.3.0-2
rtkit 0.13-3
